X,Y
193,125
299,174
334,199
403,247
208,176
257,205
229,178
324,244
372,268
346,244
274,286
181,323
273,374
241,337
220,371
214,180
408,305
479,377
583,497
232,267
316,346
275,281
436,445
513,507
478,452
324,518
117,508
287,659
238,591
178,633
214,180
408,305
479,377
583,497
232,267
316,346
275,281
436,445
513,507
478,452
324,518
117,508
287,659
238,591
178,633
214,180
408,305
479,377
583,497
232,267
316,346
275,281
436,445
513,507
478,452
324,518
117,508
287,659
238,591
178,633
41,100
78,101
107,100
142,98
53,114
74,116
60,109
110,116
131,113
117,110
93,149
72,173
113,172
93,167
93,183
241,118
357,163
400,195
467,237
253,174
308,205
276,174
387,245
440,263
410,239
321,306
218,344
334,393
292,360
269,401
193,125
299,174
334,199
403,247
208,176
257,205
229,178
324,244
372,268
346,244
274,286
181,323
273,374
241,337
220,371
193,125
299,174
334,199
403,247
208,176
257,205
229,178
324,244
372,268
346,244
274,286
181,323
273,374
241,337
220,371
214,180
408,305
479,377
583,497
232,267
316,346
275,281
436,445
513,507
478,452
324,518
117,508
287,659
238,591
178,633
193,125
299,174
334,199
403,247
208,176
257,205
229,178
324,244
372,268
346,244
274,286
181,323
273,374
241,337
220,371
41,100
78,101
107,100
142,98
53,114
74,116
60,109
110,116
131,113
117,110
93,149
72,173
113,172
93,167
93,183
193,125
299,174
334,199
403,247
208,176
257,205
229,178
324,244
372,268
346,244
274,286
181,323
273,374
241,337
220,371
214,180
408,305
479,377
583,497
232,267
316,346
275,281
436,445
513,507
478,452
324,518
117,508
287,659
238,591
178,633
241,118
357,163
400,195
467,237
253,174
308,205
276,174
387,245
440,263
410,239
321,306
218,344
334,393
292,360
269,401
193,125
299,174
334,199
403,247
208,176
257,205
229,178
324,244
372,268
346,244
274,286
181,323
273,374
241,337
220,371
193,125
299,174
334,199
403,247
208,176
257,205
229,178
324,244
372,268
346,244
274,286
181,323
273,374
241,337
220,371
193,125
299,174
334,199
403,247
208,176
257,205
229,178
324,244
372,268
346,244
274,286
181,323
273,374
241,337
220,371
193,125
299,174
334,199
403,247
208,176
257,205
229,178
324,244
372,268
346,244
274,286
181,323
273,374
241,337
220,371
241,118
357,163
400,195
467,237
253,174
308,205
276,174
387,245
440,263
410,239
321,306
218,344
334,393
292,360
269,401
